id,ground_truth,predicted,confidence,analysis_time,used_model,status
0,False,False,0.703,19.508,Hemg/Deepfake-image,SUCCESS
1,True,False,0.752,0.189,Hemg/Deepfake-image,SUCCESS
2,False,False,0.796,0.186,Hemg/Deepfake-image,SUCCESS
3,True,False,0.638,0.188,Hemg/Deepfake-image,SUCCESS
4,False,True,0.537,0.188,Hemg/Deepfake-image,SUCCESS
5,True,False,0.733,0.188,Hemg/Deepfake-image,SUCCESS
6,False,False,0.783,0.182,Hemg/Deepfake-image,SUCCESS
7,True,True,0.649,0.186,Hemg/Deepfake-image,SUCCESS
8,True,False,0.606,0.186,Hemg/Deepfake-image,SUCCESS
9,False,False,0.583,0.182,Hemg/Deepfake-image,SUCCESS
10,True,False,0.632,0.189,Hemg/Deepfake-image,SUCCESS
11,True,False,0.865,0.187,Hemg/Deepfake-image,SUCCESS
12,False,False,0.807,0.187,Hemg/Deepfake-image,SUCCESS
13,False,False,0.574,0.187,Hemg/Deepfake-image,SUCCESS
14,False,False,0.687,0.184,Hemg/Deepfake-image,SUCCESS
15,True,False,0.741,0.187,Hemg/Deepfake-image,SUCCESS
16,False,False,0.778,0.187,Hemg/Deepfake-image,SUCCESS
17,True,True,0.605,0.195,Hemg/Deepfake-image,SUCCESS
18,False,False,0.633,0.192,Hemg/Deepfake-image,SUCCESS
19,True,False,0.865,0.187,Hemg/Deepfake-image,SUCCESS
20,True,True,0.543,0.185,Hemg/Deepfake-image,SUCCESS
21,False,False,0.656,0.19,Hemg/Deepfake-image,SUCCESS
22,True,False,0.516,0.181,Hemg/Deepfake-image,SUCCESS
23,False,False,0.64,0.184,Hemg/Deepfake-image,SUCCESS
24,False,False,0.672,0.189,Hemg/Deepfake-image,SUCCESS
25,True,False,0.641,0.187,Hemg/Deepfake-image,SUCCESS
26,True,False,0.767,0.187,Hemg/Deepfake-image,SUCCESS
27,False,True,0.575,0.187,Hemg/Deepfake-image,SUCCESS
28,False,False,0.562,0.185,Hemg/Deepfake-image,SUCCESS
29,True,False,0.569,0.186,Hemg/Deepfake-image,SUCCESS
30,True,False,0.724,0.189,Hemg/Deepfake-image,SUCCESS
31,True,False,0.609,0.189,Hemg/Deepfake-image,SUCCESS
32,False,False,0.665,0.186,Hemg/Deepfake-image,SUCCESS
33,True,False,0.793,0.18,Hemg/Deepfake-image,SUCCESS
34,True,False,0.619,0.194,Hemg/Deepfake-image,SUCCESS
35,True,False,0.751,0.179,Hemg/Deepfake-image,SUCCESS
36,False,True,0.506,0.185,Hemg/Deepfake-image,SUCCESS
37,False,False,0.543,0.189,Hemg/Deepfake-image,SUCCESS
38,True,False,0.616,0.185,Hemg/Deepfake-image,SUCCESS
39,False,False,0.578,0.186,Hemg/Deepfake-image,SUCCESS
40,True,True,0.503,0.182,Hemg/Deepfake-image,SUCCESS
41,True,False,0.583,0.177,Hemg/Deepfake-image,SUCCESS
42,False,False,0.763,0.188,Hemg/Deepfake-image,SUCCESS
43,False,False,0.715,0.186,Hemg/Deepfake-image,SUCCESS
44,False,False,0.69,0.192,Hemg/Deepfake-image,SUCCESS
45,False,False,0.595,0.184,Hemg/Deepfake-image,SUCCESS
46,True,False,0.614,0.179,Hemg/Deepfake-image,SUCCESS
47,False,False,0.812,0.188,Hemg/Deepfake-image,SUCCESS
48,False,False,0.713,0.181,Hemg/Deepfake-image,SUCCESS
49,True,False,0.666,0.18,Hemg/Deepfake-image,SUCCESS
50,False,False,0.758,0.183,Hemg/Deepfake-image,SUCCESS
51,True,False,0.587,0.179,Hemg/Deepfake-image,SUCCESS
52,False,False,0.777,0.187,Hemg/Deepfake-image,SUCCESS
53,False,False,0.554,0.178,Hemg/Deepfake-image,SUCCESS
54,True,False,0.659,0.176,Hemg/Deepfake-image,SUCCESS
55,False,False,0.813,0.184,Hemg/Deepfake-image,SUCCESS
56,True,False,0.821,0.182,Hemg/Deepfake-image,SUCCESS
57,False,False,0.592,0.191,Hemg/Deepfake-image,SUCCESS
58,True,False,0.602,0.18,Hemg/Deepfake-image,SUCCESS
59,True,False,0.721,0.185,Hemg/Deepfake-image,SUCCESS
