id,ground_truth,predicted,confidence,analysis_time,used_model,status
0,False,False,0.999,1.711,capcheck/ai-image-detection,SUCCESS
1,True,True,0.997,0.194,capcheck/ai-image-detection,SUCCESS
2,False,False,0.997,0.197,capcheck/ai-image-detection,SUCCESS
3,True,True,0.998,0.191,capcheck/ai-image-detection,SUCCESS
4,False,False,0.998,0.192,capcheck/ai-image-detection,SUCCESS
5,True,True,0.996,0.192,capcheck/ai-image-detection,SUCCESS
6,False,False,0.999,0.189,capcheck/ai-image-detection,SUCCESS
7,True,True,0.998,0.189,capcheck/ai-image-detection,SUCCESS
8,True,True,0.994,0.195,capcheck/ai-image-detection,SUCCESS
9,False,False,0.998,0.192,capcheck/ai-image-detection,SUCCESS
10,True,True,0.998,0.192,capcheck/ai-image-detection,SUCCESS
11,True,True,0.997,0.193,capcheck/ai-image-detection,SUCCESS
12,False,False,0.997,0.187,capcheck/ai-image-detection,SUCCESS
13,False,False,0.999,0.191,capcheck/ai-image-detection,SUCCESS
14,False,True,0.772,0.198,capcheck/ai-image-detection,SUCCESS
15,True,True,0.993,0.203,capcheck/ai-image-detection,SUCCESS
16,False,False,0.998,0.19,capcheck/ai-image-detection,SUCCESS
17,True,True,0.997,0.188,capcheck/ai-image-detection,SUCCESS
18,False,False,0.999,0.2,capcheck/ai-image-detection,SUCCESS
19,True,True,0.996,0.193,capcheck/ai-image-detection,SUCCESS
20,True,True,0.819,0.192,capcheck/ai-image-detection,SUCCESS
21,False,False,0.991,0.192,capcheck/ai-image-detection,SUCCESS
22,True,True,0.998,0.188,capcheck/ai-image-detection,SUCCESS
23,False,False,0.991,0.189,capcheck/ai-image-detection,SUCCESS
24,False,False,0.997,0.191,capcheck/ai-image-detection,SUCCESS
25,True,True,0.998,0.185,capcheck/ai-image-detection,SUCCESS
26,True,True,0.993,0.189,capcheck/ai-image-detection,SUCCESS
27,False,False,0.999,0.19,capcheck/ai-image-detection,SUCCESS
28,False,False,0.998,0.187,capcheck/ai-image-detection,SUCCESS
29,True,True,0.995,0.188,capcheck/ai-image-detection,SUCCESS
30,True,True,0.993,0.181,capcheck/ai-image-detection,SUCCESS
31,True,True,0.997,0.192,capcheck/ai-image-detection,SUCCESS
32,False,False,0.999,0.187,capcheck/ai-image-detection,SUCCESS
33,True,True,0.998,0.186,capcheck/ai-image-detection,SUCCESS
34,True,True,0.997,0.186,capcheck/ai-image-detection,SUCCESS
35,True,True,0.998,0.186,capcheck/ai-image-detection,SUCCESS
36,False,False,0.997,0.191,capcheck/ai-image-detection,SUCCESS
37,False,False,0.991,0.192,capcheck/ai-image-detection,SUCCESS
38,True,True,0.997,0.189,capcheck/ai-image-detection,SUCCESS
39,False,False,0.999,0.184,capcheck/ai-image-detection,SUCCESS
40,True,True,0.998,0.19,capcheck/ai-image-detection,SUCCESS
41,True,True,0.998,0.184,capcheck/ai-image-detection,SUCCESS
42,False,False,0.998,0.188,capcheck/ai-image-detection,SUCCESS
43,False,False,0.998,0.188,capcheck/ai-image-detection,SUCCESS
44,False,False,0.997,0.18,capcheck/ai-image-detection,SUCCESS
45,False,False,0.986,0.186,capcheck/ai-image-detection,SUCCESS
46,True,True,0.999,0.182,capcheck/ai-image-detection,SUCCESS
47,False,False,0.998,0.187,capcheck/ai-image-detection,SUCCESS
48,False,False,0.998,0.19,capcheck/ai-image-detection,SUCCESS
49,True,True,0.998,0.19,capcheck/ai-image-detection,SUCCESS
50,False,False,0.998,0.192,capcheck/ai-image-detection,SUCCESS
51,True,True,0.998,0.188,capcheck/ai-image-detection,SUCCESS
52,False,False,0.982,0.188,capcheck/ai-image-detection,SUCCESS
53,False,False,0.998,0.189,capcheck/ai-image-detection,SUCCESS
54,True,True,0.998,0.182,capcheck/ai-image-detection,SUCCESS
55,False,False,0.998,0.183,capcheck/ai-image-detection,SUCCESS
56,True,True,0.997,0.196,capcheck/ai-image-detection,SUCCESS
57,False,False,0.998,0.186,capcheck/ai-image-detection,SUCCESS
58,True,True,0.998,0.194,capcheck/ai-image-detection,SUCCESS
59,True,True,0.996,0.186,capcheck/ai-image-detection,SUCCESS
